t,v
0.01,0.07350244
0.02,0.102932507
0.03,0.279769485
0.04,0.293430109
0.05,0.170610637
0.06,0.303047954
0.07,0.289775373
0.08,0.316196805
0.09,0.383565432
0.1,0.312978403
0.11,0.374143132
0.12,0.421399944
0.13,0.573170905
0.14,0.614873601
0.15,0.465231232
0.16,0.56398483
0.17,0.555716928
0.18,0.735583176
0.19,0.752104929
0.2,0.658970037
0.21,0.798289471
0.22,0.714022447
0.23,0.681065934
0.24,0.714770881
0.25,0.811873848
0.26,0.853700649
0.27,0.820098582
0.28,0.912667671
0.29,0.879249015
0.3,0.810781408
0.31,0.85969507
0.32,0.921723917
0.33,0.968744518
0.34,0.901328061
0.35,0.921177361
0.36,0.973701295
0.37,0.985713504
0.38,0.968011086
0.39,0.98157957
0.4,1.015676251
0.41,1.143968392
0.42,1.033470153
0.43,1.155933357
0.44,1.142235217
0.45,1.168598859
0.46,1.137885215
0.47,1.141251053
0.48,1.083212171
0.49,1.165922869
0.5,1.14101513
0.51,1.161496053
0.52,1.157564145
0.53,1.194891452
0.54,1.161173667
0.55,1.067876665
0.56,1.016556187
0.57,1.096609812
0.58,1.157379242
0.59,1.013300024
0.6,1.133911171
0.61,1.118816262
0.62,1.128913242
0.63,0.971505857
0.64,1.060065238
0.65,1.014205852
0.66,0.960615449
0.67,0.98025506
0.68,0.966396675
0.69,0.849630869
0.7,0.861480236
0.71,0.941585934
0.72,0.93961388
0.73,0.759752293
0.74,0.846257953
0.75,0.882608652
0.76,0.758303912
0.77,0.810444953
0.78,0.733266267
0.79,0.782150629
0.8,0.651297557
0.81,0.586404367
0.82,0.558273752
0.83,0.611591452
0.84,0.640601451
0.85,0.637176065
0.86,0.508339762
0.87,0.584333503
0.88,0.56147495
0.89,0.364962496
0.9,0.411332375
0.91,0.322474114
0.92,0.262837708
0.93,0.347716666
0.94,0.341938058
0.95,0.262477526
0.96,0.311721702
0.97,0.24956382
0.98,0.239743092
0.99,0.112748144
1,0.103714886
1.01,0.016062164
1.02,-0.018548026
1.03,0.00470834
1.04,-0.035229518
1.05,-0.05523948
1.06,-0.07284216
1.07,-0.15511184
1.08,-0.054087739
1.09,-0.156208431
1.1,-0.193843699
1.11,-0.153415303
1.12,-0.227417762
1.13,-0.318248459
1.14,-0.386679881
1.15,-0.365605901
1.16,-0.3491753
1.17,-0.319442054
1.18,-0.353654769
1.19,-0.510053802
1.2,-0.45719824
1.21,-0.457250893
1.22,-0.554535217
1.23,-0.498446765
1.24,-0.658689773
1.25,-0.579468998
1.26,-0.538261178
1.27,-0.675877551
1.28,-0.668876558
1.29,-0.736029376
1.3,-0.66880184
1.31,-0.799564513
1.32,-0.722185882
1.33,-0.84290796
1.34,-0.834486256
1.35,-0.811621776
1.36,-0.762427844
1.37,-0.769414375
1.38,-0.764573172
1.39,-0.91440952
1.4,-0.841584481
1.41,-0.823082578
1.42,-0.949974749
1.43,-0.843913685
1.44,-0.791232777
1.45,-0.86599057
1.46,-0.881565695
1.47,-0.817358759
1.48,-0.94808307
1.49,-0.945637069
1.5,-0.985372623
1.51,-0.858520023
1.52,-0.835348921
1.53,-0.846438437
1.54,-0.867293385
1.55,-0.950397518
1.56,-0.90308393
1.57,-0.780330457
1.58,-0.906302263
1.59,-0.948124683
1.6,-0.835886653
1.61,-0.776086963
1.62,-0.908908348
1.63,-0.903645587
1.64,-0.710584708
1.65,-0.860723998
1.66,-0.769033052
1.67,-0.791408216
1.68,-0.70530905
1.69,-0.654917338
1.7,-0.762978623
1.71,-0.701578688
1.72,-0.640815638
1.73,-0.731798348
1.74,-0.645131391
1.75,-0.651749661
1.76,-0.501321146
1.77,-0.591447736
1.78,-0.485445216
1.79,-0.58423422
1.8,-0.540581145
1.81,-0.434379986
1.82,-0.483714399
1.83,-0.418514459
1.84,-0.444659355
1.85,-0.427051992
1.86,-0.396610868
1.87,-0.369077844
1.88,-0.207265474
1.89,-0.29106488
1.9,-0.151476823
1.91,-0.090339241
1.92,-0.203151445
1.93,-0.039028685
1.94,-0.18568264
1.95,0.00126528
1.96,-0.013740307
1.97,0.071485561
1.98,0.09049829
1.99,0.115529419
2,0.13211918
2.01,0.150449084
2.02,0.195774845
2.03,0.110084805
2.04,0.25963509
2.05,0.178228742
2.06,0.200160131
2.07,0.328914442
2.08,0.290494411
2.09,0.285350173
2.1,0.356799835
2.11,0.497331493
2.12,0.424917113
2.13,0.439152695
2.14,0.45519938
2.15,0.480541847
2.16,0.522170216
2.17,0.684155184
2.18,0.669036199
2.19,0.734989262
2.2,0.62236211
2.21,0.79614321
2.22,0.776580955
2.23,0.764137892
2.24,0.809379015
2.25,0.771624261
2.26,0.760116172
2.27,0.870197221
2.28,0.807988918
2.29,0.89807897
2.3,0.850030894
2.31,0.87492826
2.32,0.897654988
2.33,0.975867322
2.34,1.009006791
2.35,0.994567864
2.36,1.007317467
2.37,1.104076514
2.38,1.082191592
2.39,0.974251578
2.4,0.952039121
2.41,1.000478758
2.42,0.970738826
2.43,1.0684027
2.44,1.047495797
2.45,1.169863729
2.46,1.058720702
2.47,1.175978816
2.48,1.124577876
2.49,1.186053979
2.5,1.087429215
2.51,1.154871849
2.52,1.004718332
2.53,1.189790352
2.54,1.056532984
2.55,1.06288754
2.56,1.104404525
2.57,1.029705522
2.58,0.998985819
2.59,1.06764009
2.6,1.078037544
2.61,1.08758349
2.62,1.109951995
2.63,0.957161218
2.64,1.058822882
2.65,1.081071843
2.66,0.953486624
2.67,0.868621562
2.68,0.996249818
2.69,0.965009477
2.7,0.950467615
